s.no,Event Name,Description ,category,Date 
1,"Building a Career in AI - Skills, Tools, and Roadmaps","This session offers guidance for individuals pursuing a career in AI, whether they are starting fresh or advancing their skills. The session covers foundational knowledge, specialized areas like machine learning, computer vision, natural language processing, and robotics. Participants will learn key tools and technologies used in AI, as well as essential soft skills like problem-solving, critical thinking, and continuous learning. The session aims to provide a clear roadmap for navigating an AI career path.",non - tech,week-1
2,Train a Simple AI to Recognize Objects(cv),"This hands-on session focuses on training a basic AI model for object recognition using computer vision. It introduces key concepts like image processing, Convolutional Neural Networks (CNNs), and deep learning models for tasks such as image classification and object detection, helping participants understand how AI perceives visual data and makes predictions.",tech,week-2
3,Demystifying AI Models - Training vs. Fine-Tuning,Participants will gain a deeper understanding of the differences between training an AI model from scratch and fine-tuning a pre-trained model. The session highlights the pros and cons of both approaches and provides clarity on when to use each method in real-world machine learning projects.,tech,week-3
4,Evolutionary Algorithms - AI Inspired by Nature,"This session explores Evolutionary Algorithms (EAs), which are optimization techniques inspired by biological evolution. Participants will learn about Genetic Algorithms, Genetic Programming, and Differential Evolution, and how these can be applied to complex AI problems such as hyperparameter tuning and feature selection. The session includes practical demonstrations to implement EAs in AI applications.",tech,week-4
5,Deep Learning 101 - From Pixels to Predictions,"This session introduces the fundamentals of Deep Learning, focusing on neural networks like Convolutional Neural Networks (CNNs) used for tasks like image classification and pattern recognition. It covers core concepts such as layers, activation functions, loss functions, and optimization techniques, and provides hands-on experience in training deep learning models for making predictions based on large datasets.",tech,week-5
6,AI-Powered Chatbot from Scratch,"Participants will learn how to build an AI-powered chatbot using Natural Language Processing (NLP). The session covers key concepts like tokenization, text pre-processing, intent recognition, and dialogue management. Participants will gain practical experience in developing and deploying a functional chatbot using Python and libraries like NLTK or spaCy.",tech,week-6
7,Voice Recognition and Speech Synthesis,This session delves into the technologies behind voice recognition and speech synthesis. Participants will learn how Automatic Speech Recognition (ASR) converts spoken language into text and how Text-to-Speech (TTS) systems generate human-like speech from text. The session includes hands-on exercises using tools like Google’s Speech-to-Text API and pyttsx3 to build voice-driven applications.,tech,week-7
8,Deploy Your AI Model to the Web,"In this session, participants will learn how to deploy their AI models to the web, enabling real-time interaction with users. It covers tools like Flask, Streamlit, and TensorFlow.js, which allow users to create web APIs for their AI models, as well as how to host models on cloud platforms like AWS or Google Cloud. Participants will gain practical experience deploying their models and integrating them with web interfaces.",tech,week-8
9,AI vs Humans – Can You Beat the AI?,"A thought-provoking debate on the strengths and limitations of AI compared to human intelligence. Participants will explore areas like creativity, problem-solving, decision-making, emotional intelligence, and ethical issues. One side will argue that AI can outperform humans in certain tasks, while the other will argue for human superiority. This interactive session will provide insights into the advantages and challenges of AI.",non - tech,week-9
10,AI Movie Maker(50sec clip like a teaser),"This session teaches participants how AI can assist in creating short movie teasers or promotional clips. Participants will learn how AI tools can automate video editing, scene generation, and even soundtrack creation. The session will cover how to use AI-driven platforms to create visually engaging 50-second teaser clips and enhance creativity with AI-generated suggestions.",non - tech,week-10
11,Train Your Own Face Recognition Model,"This session guides participants through the process of building a face recognition system from scratch using deep learning. Participants will learn about image preprocessing, feature extraction, and how Convolutional Neural Networks (CNNs) are applied in face detection and recognition. The session includes hands-on training with a facial dataset, model evaluation, and fine-tuning techniques.",tech,week-11
12,Real or Fake? AI Image Challenge," In this interactive challenge, participants will have to identify whether images are AI-generated or real. The session highlights the power of Generative Adversarial Networks (GANs) in creating realistic images, and participants will learn how these AI tools generate hyper-realistic visuals. This fun challenge also includes a brief discussion on the implications of AI in creating synthetic media.",non - tech,week-12
13,Guess the Algorithm,"Participants will engage in an interactive session where they must identify the algorithms behind different AI tasks. The challenges will include problems in image recognition, natural language processing, and recommendation systems. The host will give clues and explain the problem-solving process as participants guess which algorithm, such as decision trees or neural networks, is being used.",non - tech,week-13
14,From Raw Data to Insight: The Data Science Pipeline,"The Data Science Pipeline: This session covers the entire data science process, from data collection and cleaning to model building and insight extraction. Participants will learn about exploratory data analysis (EDA), feature engineering, model evaluation, and how to draw meaningful conclusions from data. By the end of the session, attendees will understand the data science workflow and its application to real-world problems.",tech,week-14
15,Data Science in Business: Turning Data into Strategic Advantage,"Turning Data into Strategic Advantage: This session focuses on how businesses use data science to drive decision-making and gain a competitive edge. It covers concepts like predictive analytics, customer segmentation, A/B testing, and their real-world applications in improving operations, customer experience, and strategic decision-making. Participants will understand how data science can turn raw data into valuable business insights.",tech,week-15
